Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,2.84585E+11,2.92774E+11,3.04889E+11,3.13595E+11,..
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,8.90815E+11,8.60854E+11,9.32256E+11,1.01554E+12,..
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,3.38062E+11,2.96636E+11,2.96753E+11,3.1471E+11,..
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,3.11539E+11,3.04098E+11,3.09764E+11,3.23907E+11,..
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,1.86205E+11,1.93241E+11,2.05276E+11,2.2378E+11,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2842.938353,2878.33837,2950.913903,2988.952703,..
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3491.595887,3334.549075,3570.284615,3846.864323,..
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11183.72943,9655.137377,9515.194318,9951.544153,..
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,56957.07857,54940.85814,55243.13288,57714.29663,..
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,2012.04629,2065.169099,2170.648054,2342.244003,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1.00407E+12,,,,,,,,
